TILEMAP
72 56 							-- Size of tile map in tiles
8  8 							-- Tile size & block size
images/tilemap.png 	-- Tilesheet
5 5 								-- Number of tiles in tilesheet
111111111111111111111111111111111111111111111111111111111111111111111111
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
1                                                                      1
111111111111111111111111111111111111111111111111111111111111111111111111
